G5E962 Q9URQ5
Q53HC0 P53930
Q53G59 P53286
Q53G59 Q05021
Q5D1E8 Q02793
Q5JR59-3 P28004
P32902 Q5JR59-3
P40455 Q5JR59-3
Q5JR59-3 P40454
Q5JR59-3 P40302
Q5JR59-3 P38744
Q08204 Q5JR59-3
P39946 Q5JR59-3
P32571 Q5JR59-3
Q5JR59-3 P32502
Q5D1E8 P20095
Q5D1E8 P53829
Q5JR59-3 Q06630
Q5JST6 Q12354
Q5JR59-3 P40958
P47041 Q5JR59-3
P23293 Q5JR59-3
EBI-11522371 Q5JR59-3
P48837 Q5JR59-3
Q5JR59-3 Q12056
Q03654 Q5JR59-3
P47041 Q5JST6
Q06616 Q5SW96
P28004 Q5T124-6
EBI-11523186 P11747
Q5JST6 P40482
P38340 Q5JST6
Q5SW96 P38263
P53038 Q5JST6
P26448 Q5JST6
Q03759 Q5JST6
Q5JST6 Q04087
Q5VSY0 P32502
Q5VSY0 Q12161
EBI-11522444 Q5TD97
P53286 Q5T124-6
P32902 Q5T124-6
Q12329 Q5T124-6
P52917 Q5T124-6
Q5T124-6 P32502
P40482 Q5T124-6
P38340 Q5T124-6
P25372 Q5T124-6
P40956 Q6P1W5
Q6P1W5 P53919
Q6P1W5 P40473
P53286 Q6IBW4
Q5VWN6 P89105
P40507 Q5VWX1
Q5VWX1 P36084
